sigma,legs,seed,fix_mu,fitted,darts,mu_y
8.0,100,3,False,7.978400138179766,627,103.73902252042997
8.0,100,3,True,7.975315898824439,627,103.0
8.0,100,4,False,7.708097579648679,627,105.01821028883104
8.0,100,4,True,7.700424439455666,627,103.0
8.0,100,5,False,7.726893083046007,648,99.99738367206683
8.0,100,5,True,8.053369593082813,648,103.0
8.0,100,6,False,7.55493592271159,612,99.89335012529838
8.0,100,6,True,7.888956784742675,612,103.0
8.0,100,7,False,7.751877735511288,594,102.95782547648204
8.0,100,7,True,7.766791075729177,594,103.0
8.0,100,8,False,7.388034672739446,603,100.28550016783555
8.0,100,8,True,7.692710815470513,603,103.0
8.0,100,9,False,7.6641617345250825,612,99.55642885904976
8.0,100,9,True,8.07218665581963,612,103.0
8.0,100,10,False,7.746547210498527,588,102.3677561617003
8.0,100,10,True,7.812901470702768,588,103.0
8.0,100,11,False,7.957197841372122,639,106.42064698378665
8.0,100,11,True,7.9950319879485585,639,103.0
8.0,200,0,False,7.711344997279507,1179,100.6995036032501
8.0,200,0,True,7.93061504377702,1179,103.0
8.0,200,1,False,8.249846413522608,1272,103.61667783826648
8.0,200,1,True,8.22745765060643,1272,103.0
8.0,200,2,False,8.318680546132715,1263,102.95400714767067
8.0,200,2,True,8.321322178951837,1263,103.0
8.0,200,3,False,8.209470202852676,1245,103.7957314748759
8.0,200,3,True,8.179267012561239,1245,103.0
8.0,200,4,False,7.82486684597161,1209,102.14986134508463
8.0,200,4,True,7.8863240538885195,1209,103.0
8.0,200,5,False,8.318082870711459,1260,102.56520561031277
8.0,200,5,True,8.349062763220642,1260,103.0
8.0,200,6,False,8.270808730271611,1254,104.13542376956795
8.0,200,6,True,8.257031841242707,1254,103.0
8.0,200,7,False,7.954836807717205,1254,101.79370961577546
8.0,200,7,True,8.041593244052729,1254,103.0
8.0,200,8,False,8.065166124604461,1242,105.71914505856176
8.0,200,8,True,8.050922426668834,1242,103.0
8.0,200,9,False,7.938147047084312,1203,103.04446527897768
8.0,200,9,True,7.941168563254384,1203,103.0
8.0,200,10,False,7.838963143593786,1227,104.6564109301543
8.0,200,10,True,7.824892747255737,1227,103.0
8.0,200,11,False,7.863306620007141,1233,101.68016014977948
8.0,200,11,True,7.9687476801626875,1233,103.0
8.0,400,0,False,7.820915431197179,2433,100.3284367548665
8.0,400,0,True,8.082389004311382,2433,103.0
8.0,400,1,False,7.760001977732382,2475,104.95543730972676
8.0,400,1,True,7.74025084380126,2475,103.0
8.0,400,2,False,7.979936093836279,2457,103.15077495934099
8.0,400,2,True,7.9727804013203105,2457,103.0
8.0,400,3,False,8.072201740795162,2448,102.65990067582406
8.0,400,3,True,8.09332221481075,2448,103.0
8.0,400,4,False,7.647391503154828,2370,103.40710927251999
8.0,400,4,True,7.63223123476603,2370,103.0
8.0,400,5,False,7.945022994864927,2418,102.09141994797082
8.0,400,5,True,8.004911818451127,2418,103.0
8.0,400,6,False,8.038536917193793,2418,102.2137393035658
8.0,400,6,True,8.091928989724662,2418,103.0
