source,player,model,n,t20_lift_12,t20_lift_23,t20_lift_13,treble_lift_12,dir_corr,mag_corr,switch_rate,p_t20,p_k0,p_k1,p_k2,p_k3
dartsviz_pdc_2017,Jelle Klaasen,B + aim rule,15000,8.243854615225969,16.173392995643237,5.242277382759679,-0.3463479381421525,-0.0003828705526530529,0.00088270593288851,0.38563333333333333,0.15022222222222223,0.46526666666666666,0.4063333333333333,0.11653333333333334,0.011866666666666666
dartsviz_pdc_2017,Jelle Klaasen,C + wide tail,15000,14.646980267116161,24.20015457847483,9.293071446144403,0.813757530811432,-0.001179633541052683,-0.0010650002694975718,0.33573333333333333,0.26453333333333334,0.25033333333333335,0.43466666666666665,0.2612,0.0538
dartsviz_pdc_2017,Jelle Klaasen,D + shared offset,15000,22.513296053310473,30.007451332177876,15.195529543042163,10.804016421306878,-0.0005951317700147578,0.019840986557123644,0.34346666666666664,0.2557111111111111,0.31566666666666665,0.37073333333333336,0.24493333333333334,0.06866666666666667
dartsviz_pdc_2017,Jelle Klaasen,E + shared scale,15000,18.97202849750994,28.15975514732833,13.004517626686177,5.361968499559683,-0.0022927627986159766,0.04060656641666956,0.3370666666666667,0.27064444444444447,0.26566666666666666,0.40673333333333334,0.2594666666666667,0.06813333333333334
dartsviz_pdc_2017,Adrian Lewis,OBSERVED,255,20.42763157894737,27.641165755919854,14.605263157894733,8.552631578947366,-0.014491580155628507,-0.049535155222930845,0.17647058823529413,0.3281045751633987,0.2549019607843137,0.39215686274509803,0.27450980392156865,0.0784313725490196
dartsviz_pdc_2017,Adrian Lewis,A gaussian iid,15000,0.29908067441803965,1.3943090578658612,1.5808319801750736,0.29908067441803965,0.008896998112925322,-0.00252247859635024,0.0,0.3384,0.29433333333333334,0.43746666666666667,0.22686666666666666,0.04133333333333333
dartsviz_pdc_2017,Adrian Lewis,B + aim rule,15000,8.568713587429954,16.949737244575278,7.209454056915854,-0.2025483303054243,0.002388563931344136,-0.0076617551985630585,0.23996666666666666,0.25133333333333335,0.31506666666666666,0.4408,0.20986666666666667,0.03426666666666667
dartsviz_pdc_2017,Adrian Lewis,C + wide tail,15000,11.130120098361768,19.946872032326578,7.602704738733679,0.3668406453649409,-0.004898644750727039,-0.00527230396400159,0.22126666666666667,0.3102,0.23286666666666667,0.43046666666666666,0.27686666666666665,0.0598
dartsviz_pdc_2017,Adrian Lewis,D + shared offset,15000,19.162394950657323,26.594420653571227,15.272169334309726,9.183247899013141,0.0008245681337299671,0.0010958766229794501,0.21863333333333335,0.3198888888888889,0.2614666666666667,0.37966666666666665,0.2727333333333333,0.08613333333333334
dartsviz_pdc_2017,Adrian Lewis,E + shared scale,15000,11.39342231549318,20.607461571726226,8.152611004453835,-0.22947142950168198,-0.006878895486344875,0.0021143074276121433,0.22383333333333333,0.3109777777777778,0.2262,0.435,0.2786666666666667,0.06013333333333333
dartsviz_pdc_2017,Kim Huybrechts,OBSERVED,215,21.96499153020892,35.076210688790276,23.564840956145304,3.8490495012234116,-0.10008339110855158,0.04058903154250346,0.24186046511627907,0.33798449612403103,0.24186046511627907,0.31627906976744186,0.3627906976744186,0.07906976744186046
dartsviz_pdc_2017,Kim Huybrechts,A gaussian iid,15000,-0.26314306055171266,1.0566409465293747,0.8977220295670607,-0.26314306055171266,-0.0017560293457130895,-0.004438602079222791,0.0,0.30922222222222223,0.332,0.4391333333333333,0.19806666666666667,0.0308
dartsviz_pdc_2017,Kim Huybrechts,B + aim rule,15000,11.115071393665483,19.510163134514034,8.574287282303755,0.11210105954834182,0.0024076666318351256,-0.008726011649807774,0.29886666666666667,0.2152,0.3575333333333333,0.4368,0.17886666666666667,0.0268
dartsviz_pdc_2017,Kim Huybrechts,C + wide tail,15000,14.623860182370823,23.95617024386031,10.16641337386018,0.24590171406485006,0.0010424590645231398,-0.002881978125604793,0.26913333333333334,0.28575555555555554,0.248,0.4328,0.2658,0.0534
dartsviz_pdc_2017,Kim Huybrechts,D + shared offset,15000,24.409970229288977,31.121577957121282,17.54923143529565,10.831866066893031,0.010392064207817008,0.03303543023249091,0.26553333333333334,0.2988222222222222,0.282,0.37,0.26753333333333335,0.08046666666666667
dartsviz_pdc_2017,Kim Huybrechts,E + shared scale,15000,18.898806387236885,27.85687543001511,14.427873315806886,4.2124464046905175,-0.013795093382111757,0.05448715366310355,0.26563333333333333,0.2991111111111111,0.2492,0.41186666666666666,0.2677333333333333,0.0712
