design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 1,1,100,league,16.0,13.996468124416253,1.955698047892611
best 1,1,100,league,16.0,14.764691222495998,4.45597094066102
best 1,1,100,league,16.0,16.838923944384693,2.842054069924984
best 1,1,100,league,16.0,14.17607998854737,3.354265229825645
best 1,1,100,league,16.0,9.189231478520611,22.195596346680208
best 1,1,100,league,16.0,15.013563579522293,1.0397371329007368
best 1,1,100,league,16.0,15.424527741782102,1.3443766565883786
best 1,1,100,league,16.0,16.21553633027586,1.5022706314813479
best 1,1,100,league,16.0,9.291792399272204,22.03467120901136
best 1,1,100,league,16.0,8.986226006348828,22.304695641257958
best 1,1,100,league,16.0,16.8122263741993,7.004999997027517
best 1,1,100,league,16.0,15.914238583167988,2.774024429515644
best 1,1,100,league,16.0,17.26612132064227,4.415055016761759
best 1,1,100,league,16.0,14.36116682621427,4.885232171373338
best 1,1,100,league,16.0,15.0564713919154,6.955497251619173
best 1,1,100,league,16.0,15.393292871185595,5.208481759615196
best 1,1,100,league,16.0,17.57842303868165,5.13017336749813
best 1,1,100,league,16.0,14.732929348538326,1.9062044524675381
best 1,1,100,league,16.0,15.02223436817923,4.921868498579267
best 1,1,100,league,16.0,15.536247566644663,7.15883985241885
best 1,1,100,league,16.0,16.511693735480094,5.7600051281799765
best 1,1,100,league,16.0,16.868513600863835,7.834598180425538
best 1,1,100,league,16.0,15.489311086418748,4.124866481943789
best 1,1,100,league,16.0,17.29048721580009,2.712215494332285
best 1,1,100,league,16.0,14.835898574228064,2.89991240296188
best 1,1,100,league,16.0,15.290350245095873,3.2651263549238534
best 1,1,100,league,16.0,16.01551471341213,0.9546021318906658
best 1,1,100,league,16.0,15.635446737904367,2.491042706186499
best 1,1,100,league,16.0,16.403141208797297,4.8526550859795865
best 1,1,100,league,16.0,16.318848338547042,3.894603147004009
best 1,1,100,league,16.0,14.476652192354607,4.657060661028002
best 1,1,100,league,16.0,15.887127783442258,4.043757296261153
best 1,1,100,league,16.0,14.26630223225188,7.629439207003463
best 1,1,100,league,16.0,15.376440500483067,2.417362335418344
best 1,1,100,league,16.0,16.075955302068394,2.39157021920529
best 1,1,100,league,16.0,19.044061861786798,1.8712490773678199
best 1,1,100,league,16.0,14.3972639260978,2.4404752971783776
best 1,1,100,league,16.0,17.704382778207577,4.284920345846387
best 1,1,100,league,16.0,17.033346970492374,3.305407697842786
